name,artist,popularity,id,release_date,track_number,explicit,duration_ms,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Breaking Me,"Topic, A7S",72,3H7ihDc1dqLriiWXwsc2po,2019-12-19,1,False,166793,76,0.789,0.72,8.0,-5.652,0.0,0.218,0.223,0.0,0.129,0.664,122.031
We Found Love (feat. Rihanna),"Calvin Harris, Rihanna",0,0385HqYimoTQaHZP17KwG1,2012-10-29,4,False,215520,87,0.738,0.776,1.0,-4.808,1.0,0.0392,0.0234,0.0018,0.0775,0.608,127.984
SLOW DANCING IN THE DARK,Joji,29,0rKtyWc8bvkriBthvHKY8d,2018-10-26,2,True,209273,80,0.515,0.479,3.0,-7.458,1.0,0.0261,0.544,0.00598,0.191,0.284,88.964
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",80,1oFAF1hdPOickyHgbuRjyX,2020-03-20,18,False,191013,96,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091
A Sky Full of Stars,Coldplay,86,0FDzzruyVECATHXKHFs9eJ,2014-05-19,8,False,267866,91,0.545,0.675,6.0,-6.474,1.0,0.0279,0.00617,0.00197,0.209,0.162,124.97
Trap Queen,Fetty Wap,74,2d8JP84HNLKhmd6IYOoupQ,2015-09-25,1,True,222093,71,0.746,0.873,7.0,-3.803,1.0,0.128,0.0244,0.0,0.354,0.817,148.075
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic, Ty Dolla $ign",74,4dASQiO1Eoo3RJvt74FtXB,2016-06-24,1,True,243490,87,0.502,0.786,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.739,169.021
Bank Account,21 Savage,14,2fQrGHiQOvpL9UgPvtYy6G,2017-09-23,1,True,220306,89,0.884,0.347,8.0,-8.227,0.0,0.35,0.015,7e-06,0.0871,0.376,75.016
MIDDLE CHILD,J. Cole,78,2JvzF1RMd7lE3KmFlsyZD8,2019-01-23,1,True,213593,86,0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984
Everybody Wants To Rule The World,Tears For Fears,85,4RvWPyQ5RL0ao9LPZeSouE,1985-02-25,3,False,251488,74,0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067
Daddy Issues,The Neighbourhood,85,5E30LdtzQTGqRvNd7l6kG5,2015-10-30,6,False,260173,86,0.588,0.521,10.0,-9.461,1.0,0.0329,0.0678,0.149,0.123,0.337,85.012
Dancing On My Own,Calum Scott,78,2BOqDYLOJBiMOXShCV1neZ,2018-03-09,7,False,260285,77,0.681,0.174,1.0,-8.745,1.0,0.0315,0.837,3.35e-05,0.0983,0.231,112.672
Just Give Me a Reason,"P!nk, Nate Ruess",0,1qHaLcG3LOeh6ZB8vii5ZZ,2012-09-17,4,False,242733,82,0.778,0.547,2.0,-7.273,1.0,0.0489,0.346,0.000302,0.132,0.441,95.002
Hey Ya!,Outkast,82,2PpruBYCo4H7WOBJ7Q2EwM,2003,9,False,235213,77,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",71,7LcfRTgAVTs5pQGEQgUEzN,2010,13,False,201160,87,0.722,0.758,11.0,-4.477,0.0,0.0471,0.0111,0.0,0.308,0.62,128.047
Boy With Luv (feat. Halsey),"BTS, Halsey",1,5KawlOMHjWeUjQtnuRs22c,2019-04-12,2,False,229773,87,0.645,0.862,11.0,-4.757,0.0,0.0965,0.0923,0.0,0.192,0.798,119.991
I Gotta Feeling,Black Eyed Peas,2,4vp2J1l5RD4gMZwGFLfRAu,2009-01-01,5,False,289133,81,0.743,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.96
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",79,02VBYrHfVwfEWXk5DXyf0T,2021-11-11,2,False,242096,93,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088
Royals,Lorde,75,2dLLR6qlu5UJ5gk0dKz0h3,2013-09-27,3,False,190185,77,0.674,0.426,7.0,-9.504,1.0,0.122,0.12,0.0,0.132,0.337,84.876
Fast Car,"Jonas Blue, Dakota",66,2mCF8L0brIs88eH6Kf2h9p,2015-12-04,1,False,212424,74,0.644,0.57,9.0,-6.994,1.0,0.052,0.484,0.0,0.299,0.527,113.945
Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",84,1TfqLAPs4K3s2rJMoCokcS,1983-01-04,6,False,216933,71,0.692,0.711,0.0,-7.498,0.0,0.0317,0.225,0.0,0.12,0.875,125.135
Break My Heart,Dua Lipa,76,017PF4Q3l4DBUiWoXk4OWT,2020-03-27,9,False,221820,88,0.73,0.729,4.0,-3.434,0.0,0.0884,0.167,1.39e-06,0.349,0.467,113.011
We Will Rock You - Remastered 2011,Queen,70,54flyrjcdnQdco7300avMJ,1977-10-28,1,False,122066,86,0.693,0.497,2.0,-7.316,1.0,0.119,0.679,0.0,0.258,0.473,81.308
Have You Ever Seen The Rain,Creedence Clearwater Revival,64,5DnT9a5IM3eMjKgXTWVJvi,1970-12-07,4,False,160333,82,0.743,0.47,0.0,-13.154,1.0,0.029,0.0936,3.15e-05,0.186,0.89,116.122
Going Bad (feat. Drake),"Meek Mill, Drake",74,2IRZnDFmlqMuOrYOLnZZyc,2018-11-30,9,True,180522,74,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003
The Business,Tiësto,73,6f3Slt0GbA2bPZlz0aIFXN,2020-09-16,1,False,164000,85,0.798,0.62,8.0,-7.079,0.0,0.232,0.414,0.0192,0.112,0.235,120.031
Losing My Religion,R.E.M.,83,31AOj9sFz2gM0O3hMARRBx,1991-03-12,2,False,268426,74,0.666,0.855,9.0,-5.051,0.0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
Call Me Maybe,Carly Rae Jepsen,46,6ol4ZSifr7r3Lb2a9L5ZAB,2012-01-01,1,False,193466,72,0.783,0.584,7.0,-6.572,1.0,0.041,0.0109,2.87e-06,0.108,0.631,120.026
Ghost,Justin Bieber,84,6I3mqTwhRpn34SLVafSH7G,2021-03-19,11,False,153190,90,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96
Mockingbird,Eminem,85,561jH07mF1jHuk7KlaeF0s,2004-11-12,16,True,250760,93,0.637,0.678,0.0,-3.798,1.0,0.266,0.209,0.0,0.156,0.254,84.039
Time of Our Lives,"Pitbull, Ne-Yo",83,2bJvI42r8EF3wxjOuDav4r,2014-11-21,4,True,229360,85,0.721,0.802,1.0,-5.797,1.0,0.0583,0.0921,0.0,0.694,0.724,124.022
LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",81,6PGoSes0D9eUDeeAafB2As,2017-04-14,10,True,213400,92,0.8,0.585,10.0,-7.343,1.0,0.0924,0.264,0.0,0.153,0.779,126.058
Lose You To Love Me,Selena Gomez,76,4l0Mvzj72xxOpRrp6h8nHi,2020-01-10,4,False,206458,82,0.516,0.342,4.0,-8.985,1.0,0.0425,0.55,0.0,0.21,0.0993,102.819
Eye of the Tiger,Survivor,78,2HHtWyy5CgaQbC7XSoOb0e,1982,1,False,243773,69,0.815,0.438,0.0,-14.522,0.0,0.0346,0.216,0.000466,0.0787,0.552,108.965
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",76,0NZPBYD5qbEWRs3PrGiRkT,2023-01-27,6,False,156943,84,0.719,0.454,2.0,-7.384,1.0,0.0707,0.0138,4.83e-06,0.318,0.224,131.007
THATS WHAT I WANT,Lil Nas X,76,0e8nrvls4Qqv5Rfa2UhqmO,2021-09-17,4,True,143901,76,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",79,0qOnSQQF0yzuPWsXrQ9paz,2011-11-11,4,False,210960,69,0.646,0.795,9.0,-3.293,1.0,0.0976,0.0319,0.0,0.267,0.796,89.99
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",85,1RMJOxR6GRPsBHL8qeC2ux,2017-08-25,2,False,209831,83,0.524,0.364,7.0,-10.209,1.0,0.0367,0.808,0.0,0.1,0.436,75.24
Body,"Loud Luxury, Brando",78,21RzyxY3EFaxVy6K4RqaU9,2017-10-27,1,False,163216,68,0.752,0.764,1.0,-4.399,1.0,0.038,0.0476,9.44e-05,0.0543,0.582,121.958
Set Fire to the Rain,Adele,1,3CKCZ9pfwAfoMZlMncA1Nc,2011-01-19,5,False,241693,88,0.61,0.683,2.0,-3.879,0.0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003
Diamonds,Rihanna,21,6FkEkYhCB2hUI3hASA39O8,2013-01-01,2,False,225146,91,0.564,0.71,11.0,-4.92,0.0,0.0461,0.00125,0.0,0.109,0.393,91.972
